observation-1,observation-2,observation-3,observation-4,observation-5
10217665.63,1.5,0.005,0.005,7472952.92
5887197.516,1.5,0.005,0.005,3142484.806
6683768.911,1.5,0.005,0.005,3939056.201
4144688.236,1.5,0.005,0.005,1399975.526
28966104.19,1.5,0.005,0.005,26221391.48
87674609.908,1.5,0.005,0.005,84929897.198
5426684.883,1.5,0.005,0.005,2681972.173
8630202.435,1.5,0.005,0.005,5885489.725
3080469.632,1.5,0.005,0.005,335756.922
3582985.505,1.5,0.005,0.005,838272.795
5828892.463,1.5,0.005,0.005,3084179.753
9427344.379,1.5,0.005,0.005,6682631.669
11652335.482,1.5,0.005,0.005,8907622.772
7618275.775,1.5,0.005,0.005,4873563.065
20102134.902,1.5,0.005,0.005,17357422.192
54422101.461,1.5,0.005,0.005,51677388.751
5735159.26,1.5,0.005,0.005,2990446.55
18606343.693,1.5,0.005,0.005,15861630.983
9957291.134,1.5,0.005,0.005,7212578.424
4895603.411,1.5,0.005,0.005,2150890.701
27392740.431,1.5,0.005,0.005,24648027.721
4104645.526,1.5,0.005,0.005,1359932.816
35069884.024,1.5,0.005,0.005,32325171.314
11881807.513,1.5,0.005,0.005,9137094.803
6228663.682,1.5,0.005,0.005,3483950.972
4877955.531,1.5,0.005,0.005,2133242.821
20721630.958,1.5,0.005,0.005,17976918.248
5916613.277,1.5,0.005,0.005,3171900.567
162448089.006,1.5,0.005,0.005,159703376.296
7115037.034,1.5,0.005,0.005,4370324.324
5565283.325,1.5,0.005,0.005,2820570.615
8089935.447,1.5,0.005,0.005,5345222.737
4790843.603,1.5,0.005,0.005,2046130.893
4553004.497,1.5,0.005,0.005,1808291.787
3827218.088,1.5,0.005,0.005,1082505.378
5202354.38,1.5,0.005,0.005,2457641.67
7005504.242,1.5,0.005,0.005,4260791.532
18833623.821,1.5,0.005,0.005,16088911.111
113130819.816,1.5,0.005,0.005,110386107.106
11590203.44,1.5,0.005,0.005,8845490.73
10476820.607,1.5,0.005,0.005,7732107.897
6367925.455,1.5,0.005,0.005,3623212.745
41190439.875,1.5,0.005,0.005,38445727.165
6648630.268,1.5,0.005,0.005,3903917.558
54879616.611,1.5,0.005,0.005,52134903.901
4861795.526,1.5,0.005,0.005,2117082.816
16683835.486,1.5,0.005,0.005,13939122.776
8571117.135,1.5,0.005,0.005,5826404.425
5517061.545,1.5,0.005,0.005,2772348.835
12325161.031,1.5,0.005,0.005,9580448.321
4289307.034,1.5,0.005,0.005,1544594.324
14108849.296,1.5,0.005,0.005,11364136.586
3946516.94,1.5,0.005,0.005,1201804.23
12397579.03,1.5,0.005,0.005,9652866.32
8366378.426,1.5,0.005,0.005,5621665.716
23778755.689,1.5,0.005,0.005,21034042.979
